content,id,tstamp,profilelink,screenname,timezone
Not overly pleased that the cowboys vs redskins game has been moved to Sunday night. Means i will have to put up with channel 4's coverage,8f65c65066289a2e0bc5b658039e353f,2012-12-24T12:03:54Z,http://a0.twimg.com/profile_images/2949024932/5db0767318e2e18d4cff341a0dbcc81d_normal.jpeg,bgavin82,Edinburgh
"Trending Online: Happy Holidays
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Sound of Music
  Bruno ...",7092d694322b8982b45e8465cf9fbd97,2012-12-24T12:03:59Z,http://a0.twimg.com/profile_images/1851003539/medialinkup-logo-4c_normal.jpg,TheMediaLinkup,
"Happy Holidays
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Sound of Music
  Bruno Mars
  Festivus
...  http://t.co/10btWOwP",a31de48f84a9a56a67fb67c1ca2cbc32,2012-12-24T12:03:59Z,http://a0.twimg.com/profile_images/1192058883/what-are-you-looking-for_normal.jpg,HotSearchNow,
"GoogleTopSearched Happy Holidays, NFL playoff picture, Dallas Cowboys, ...: Happy Holidays
  ...  #trend #search #SEO",71295b8bb5f35f42139af056e1ec5b72,2012-12-24T12:03:59Z,http://a0.twimg.com/profile_images/1571475270/Mad_Marketing_Tactics_normal.png,MadMarketing,Eastern Time (US & Canada)
@QuantCoach cowgirls will beat redskins bank it,2c0f5661b856759f0c0e142917276f5b,2012-12-24T12:05:27Z,http://a0.twimg.com/profile_images/2590828409/image_normal.jpg,bill86753091,
RT @TengoSwag: So it comes down to Sunday night prime time. I believe the Redskins can do this. LEGGO #HTTR http://t.co/Aanqc5UY,fc03c02fde6da3a08bc04b1c6ab1a70f,2012-12-24T12:07:03Z,http://a0.twimg.com/profile_images/2638123834/58e05abaf355a0c8972a036e22accdd3_normal.jpeg,shahanabislam,Eastern Time (US & Canada)
#imvu #fashion #fashionulove #cowboys#nfl#football http://t.co/cyXKTBNB,16d4808c67f4c9876d8a0b98ed505978,2012-12-24T12:07:23Z,http://a0.twimg.com/profile_images/2717759812/f5e2880f9d15f5f5d9560ec0c966024a_normal.jpeg,fashionulove,Pacific Time (US & Canada)
Too funny #httr #Giants #NYGiants #Redskins http://t.co/WSK2lcl4,ff77052ba23454158b55156d171108e1,2012-12-24T12:07:30Z,http://a0.twimg.com/profile_images/2803873237/7aff6fe514c6096b258da9e5532b4a50_normal.jpeg,Shelley514,Eastern Time (US & Canada)
@SkySportsNFL are you's showing the Redskins game,7f7574c3ecc9310383c3202b8c848928,2012-12-24T12:07:45Z,http://a0.twimg.com/profile_images/1224794291/image_normal.jpg,rob_mcgrath84,
"RT @RedskinsWatch: Washington Redskins survive, eye NFC East crown http://t.co/1fEjUipc",d61fdc1529218a172b0b5558a38fdf5e,2012-12-24T12:07:49Z,http://a0.twimg.com/profile_images/1811947700/ee166ecda10127c9f60ff34692b3bfaa_normal.jpg,DablkClarkKent,Central Time (US & Canada)
Washington Redskins are winning the NFC East,2b5c66ae6e9bbed5c3264bcf776667a4,2012-12-24T12:08:50Z,http://a0.twimg.com/profile_images/3001967913/e8ce334d3578260417659c8ed951b3b0_normal.jpeg,TheDevDaddy,Atlantic Time (Canada)
Cowboys-Redskins off to prime time http://t.co/WU4gWVLG,bd77353471d301fdd509068f29ae99de,2012-12-24T12:09:13Z,http://a0.twimg.com/profile_images/1765947533/V_normal.jpg,martiyo004,Eastern Time (US & Canada)
@Ricanbombshell Good morning Jossie- Hail to the Redskins...Woo Hoo! Have a wonderful day. :-),9339651bae308e41acd620ca6c382bee,2012-12-24T12:09:42Z,http://a0.twimg.com/profile_images/1784781847/twitter_pic_1_normal.jpg,bigman245,Eastern Time (US & Canada)
Redskins lead 13-10 at halftime - DC Pro Sports Report: The Washington Redskins lead the Philadelphia Eagles 13-... http://t.co/n7Gmj9V8,0a38d62f49297d42512a2bbc0d0132a1,2012-12-24T12:11:28Z,http://a0.twimg.com/profile_images/218515432/Dock_normal.jpg,albert2729,
@RGIII Should The “Washington Redskins” Change There Disrespectful Racist Name?? http://t.co/EAvPRjPz,273511aefc8d5e4ce35076b2acbc992a,2012-12-24T12:12:24Z,http://a0.twimg.com/profile_images/2379387501/tve2kpa4qraie71m0lak_normal.jpeg,folksrtalking,Eastern Time (US & Canada)
@rgIII Should The “Washington Redskins” Change There Racist Name?? http://t.co/EAvPRjPz,a9856bdda6da0a83432be633aff629b8,2012-12-24T12:13:14Z,http://a0.twimg.com/profile_images/2379387501/tve2kpa4qraie71m0lak_normal.jpeg,folksrtalking,Eastern Time (US & Canada)
I kept waking up all night grinding my teeth and thinking of killing the dallass #cowboys. This game can't come soon enough #HTTR #Redskins,a196b8bae9a90867156f1b7b501e6aaf,2012-12-24T12:13:20Z,http://a0.twimg.com/profile_images/1580422878/image_normal.jpg,bryansmoak,Mid-Atlantic
@gonavy1994  Last two #Redskins playoff games have been losses to #Seahawks. http://t.co/t5G25ucx Ready for number 3?,bc0375f12fb281a2658b6f93972e4ed1,2012-12-24T12:13:33Z,http://a0.twimg.com/profile_images/2236575107/sameagletwitter_normal.jpg,itgoestoXI,
@TylerHobbs5 yesterday loss was a warm up for this weekend against the redskins,a2fea5998e268583ae55403ab142ae9f,2012-12-24T12:14:01Z,http://a0.twimg.com/profile_images/2924727269/fadadb4ef774170f4d6e0f0adc329465_normal.jpeg,Clarky810,Eastern Time (US & Canada)
"I'm at Redskins Pub (Neshanic Station, NJ) http://t.co/b2sQh0ka",6d9d65c15707957cac40b206bfeeabcd,2012-12-24T12:14:34Z,http://a0.twimg.com/profile_images/1680757824/image_normal.jpg,goodesolutions,
"I'm at Redskins Pub (Neshanic Station, NJ) http://t.co/RctREVAd",b4442eea10408497e291676c227f06b6,2012-12-24T12:14:34Z,http://a0.twimg.com/profile_images/1680757824/image_normal.jpg,goodesolutions,
"I'm at Redskins Pub (Neshanic Station, NJ) http://t.co/TvvOS1uv",020821a936ba3c0920372c67d2b8b6bd,2012-12-24T12:14:34Z,http://a0.twimg.com/profile_images/1680757824/image_normal.jpg,goodesolutions,
"@anotherroundd I do, I love the redskins",2f52d17a298e1617f46c6a8fe8af4e71,2012-12-24T12:14:54Z,http://a0.twimg.com/profile_images/2846675080/bd195e9600f3d53a10bd03ac55a2744e_normal.jpeg,lilamb15,
Smh my mama turned my niece into a Redskins fan,48ee7a1f266ca5c691e69652cfe3df58,2012-12-24T12:15:35Z,http://a0.twimg.com/profile_images/2762575965/9365dc58ff6755030c5380313176ece9_normal.png,MrBanker12,
Redskins vs. Cowboys for the NFC East title: Did you imagine this in your wildest dreams? http://t.co/40oDub4E,2712ecd0ca12ecdd8d7d145ced600679,2012-12-24T12:17:02Z,http://a0.twimg.com/profile_images/1728984343/gpw-200702-48-NASA-STS111-321-24-space-sunset-20020618-Sahara-Desert-medium_normal.jpg,panda_vickey,Kolkata
Redskins vs. Cowboys for the NFC East title: Did you imagine this in your wildest dreams? http://t.co/3mzZRYFv,cff9664ca33ce202e2fb561e57bde123,2012-12-24T12:17:02Z,http://a0.twimg.com/profile_images/2667405498/5b4da7fccb57edeff43d6bc0678fd707_normal.jpeg,Nidhish__Kumar,New Delhi
